question,answer_a,answer_b,run1_winner,run2_winner_flipped,winner_after_swap
Nghị định 13/2023/NĐ-CP của Chính phủ áp dụng cho ai ở Việt Nam?,Nghị định 13/2023/NĐ-CP của Chính phủ được ban hành ngày 17 tháng 4 năm 2023.,Nghị định 13/2023/NĐ-CP của Chính phủ được ban hành ngày 17 tháng 4 năm 2023.,tie,tie,tie
Thuế giá trị gia tăng là bao nhiêu?,Thuế giá trị gia tăng còn phải nộp trong kỳ là 52.133.830 đồng.,Thuế giá trị gia tăng còn phải nộp trong kỳ là 52.133.830 đồng.,tie,tie,tie
Xử lý vi phạm như thế nào liên quan đến quyền của chủ thể dữ liệu?,"Đoạn văn nằm trong phần ""Quyền của chủ thể dữ liệu"" của tài liệu ""nghi_dinh_13_summary.md"" và nói về các quyền của chủ thể dữ liệu liên quan đến việc xử lý thông tin cá nhân.","Đoạn văn nằm trong phần ""Quyền của chủ thể dữ liệu"" của tài liệu ""nghi_dinh_13_summary.md"" và nói về các quyền của chủ thể dữ liệu liên quan đến việc xử lý thông tin cá nhân.",tie,tie,tie
Hàng hóa là gì và tổng doanh thu của nó là bao nhiêu?,"Tổng doanh thu của hàng hóa, dịch vụ bán ra trong kỳ là 3.703.685.610 đồng.","Tổng doanh thu của hàng hóa, dịch vụ bán ra trong kỳ là 3.703.685.610 đồng.",tie,tie,tie
Cái gì là trách nhiệm của bên kiểm soát dữ liệu khi chuyển dữ liệu cá nhân ra nước ngoài?,"Đoạn văn nằm trong phần ""Trách nhiệm của bên kiểm soát và xử lý dữ liệu"" của tài liệu ""nghi_dinh_13_summary.md"" và nói về trách nhiệm của các bên liên quan trong việc bảo vệ dữ liệu cá nhân.","Đoạn văn nằm trong phần ""Trách nhiệm của bên kiểm soát và xử lý dữ liệu"" của tài liệu ""nghi_dinh_13_summary.md"" và nói về trách nhiệm của các bên liên quan trong việc bảo vệ dữ liệu cá nhân.",tie,tie,tie
Hàng hóa dịch vụ bán ra là gì và thuế suất của nó là bao nhiêu?,"Hàng hóa, dịch vụ bán ra chịu thuế suất 10% có giá trị 3.703.685.610 đồng và thuế giá trị gia tăng tương ứng là 344.675.400 đồng.","Hàng hóa, dịch vụ bán ra chịu thuế suất 10% có giá trị 3.703.685.610 đồng và thuế giá trị gia tăng tương ứng là 344.675.400 đồng.",tie,tie,tie
"What are the total sales figures for goods and services subject to a 10% tax rate, and how do these figures relate to the tax obligations identified for the period?","Hàng hóa, dịch vụ bán ra chịu thuế suất 10% có giá trị 3.703.685.610 đồng và thuế giá trị gia tăng tương ứng là 344.675.400 đồng.","Tài liệu là tờ khai thuế giá trị gia tăng mẫu số 01/GTGT, kỳ tính thuế quý 4 năm 2024.",A,A,A
What is the process for transferring personal data of Vietnamese citizens abroad according to the Bộ Công an?,"Tổ chức, cá nhân chuyển dữ liệu cá nhân của công dân Việt Nam ra nước ngoài phải lập hồ sơ đánh giá tác động chuyển dữ liệu cá nhân ra nước ngoài và gửi cơ quan chuyên trách bảo vệ dữ liệu cá nhân thuộc Bộ Công an.","Tổ chức, cá nhân chuyển dữ liệu cá nhân của công dân Việt Nam ra nước ngoài phải lập hồ sơ đánh giá tác động chuyển dữ liệu cá nhân ra nước ngoài và gửi cơ quan chuyên trách bảo vệ dữ liệu cá nhân thuộc Bộ Công an.",tie,tie,tie
"What are the legal implications for organizations that process personal data without the consent of the data subject, and how does this relate to the requirements for obtaining consent as outlined in the law?","Đoạn văn nằm trong phần ""Sự đồng ý của chủ thể dữ liệu"" của tài liệu ""nghi_dinh_13_summary.md"" và nói về yêu cầu có sự đồng ý của chủ thể dữ liệu trong việc xử lý dữ liệu cá nhân.","Đoạn văn nằm trong phần ""Sự đồng ý của chủ thể dữ liệu"" của tài liệu ""nghi_dinh_13_summary.md"" và nói về yêu cầu có sự đồng ý của chủ thể dữ liệu trong việc xử lý dữ liệu cá nhân.",tie,tie,tie
"Xử lý vi phạm nào được áp dụng cho các cơ quan, tổ chức, cá nhân vi phạm quy định về bảo vệ dữ liệu cá nhân theo Nghị định 13/2023/NĐ-CP?","Đoạn văn nằm ở phần đầu của tài liệu ""nghi_dinh_13_summary.md"" và nói về Nghị định 13/2023/NĐ-CP liên quan đến bảo vệ dữ liệu cá nhân.","Đoạn văn nằm ở phần đầu của tài liệu ""nghi_dinh_13_summary.md"" và nói về Nghị định 13/2023/NĐ-CP liên quan đến bảo vệ dữ liệu cá nhân.",tie,tie,tie
Dữ liệu cá nhân là gì và nó phải được xử lý như thế nào?,"Đoạn văn này nằm trong tài liệu ""nghi_dinh_13_summary.md"" và nói về các nguyên tắc xử lý dữ liệu cá nhân.","Đoạn văn này nằm trong tài liệu ""nghi_dinh_13_summary.md"" và nói về các nguyên tắc xử lý dữ liệu cá nhân.",tie,tie,tie
"Là một nhân viên tuân thủ thuế, tôi muốn biết các nguyên tắc nào cần tuân thủ khi xử lý dữ liệu cá nhân để đảm bảo tính hợp pháp và an toàn?","Dữ liệu cá nhân phải được xử lý hợp pháp, công bằng, minh bạch, đúng mục đích, giới hạn trong phạm vi cần thiết, bảo đảm chính xác, bảo mật và an toàn.","Dữ liệu cá nhân phải được xử lý hợp pháp, công bằng, minh bạch, đúng mục đích, giới hạn trong phạm vi cần thiết, bảo đảm chính xác, bảo mật và an toàn.",tie,tie,tie
Thuế GTGT còn phải nộp là bao nhiêu nếu bù trừ với 0 đồng?,Thuế giá trị gia tăng của dự án đầu tư được bù trừ với thuế GTGT còn phải nộp là 0 đồng.,Thuế giá trị gia tăng của dự án đầu tư được bù trừ với thuế GTGT còn phải nộp là 0 đồng.,tie,tie,tie
"Dữ liệu cá nhân cơ bản bao gồm những gì, đặc biệt là ngày tháng năm sinh?","Dữ liệu cá nhân cơ bản bao gồm họ tên, ngày tháng năm sinh, giới tính, nơi sinh, nơi đăng ký khai sinh, quốc tịch, hình ảnh cá nhân, số điện thoại, số chứng minh nhân dân, căn cước công dân, hộ chiếu, s","Dữ liệu cá nhân cơ bản bao gồm họ tên, ngày tháng năm sinh, giới tính, nơi sinh, nơi đăng ký khai sinh, quốc tịch, hình ảnh cá nhân, số điện thoại, số chứng minh nhân dân, căn cước công dân, hộ chiếu, s",tie,tie,tie
Xử lý vi phạm và trách nhiệm của bên kiểm soát dữ liệu là gì?,"Đoạn văn nằm trong phần ""Trách nhiệm của bên kiểm soát và xử lý dữ liệu"" của tài liệu ""nghi_dinh_13_summary.md"" và nói về trách nhiệm của các bên liên quan trong việc bảo vệ dữ liệu cá nhân.","Đoạn văn nằm trong phần ""Trách nhiệm của bên kiểm soát và xử lý dữ liệu"" của tài liệu ""nghi_dinh_13_summary.md"" và nói về trách nhiệm của các bên liên quan trong việc bảo vệ dữ liệu cá nhân.",tie,tie,tie
"What is the total value of goods and services sold that are subject to a 10% tax rate, and how does this relate to the tax obligations for the period?","Hàng hóa, dịch vụ bán ra chịu thuế suất 10% có giá trị 3.703.685.610 đồng và thuế giá trị gia tăng tương ứng là 344.675.400 đồng.","Tài liệu là tờ khai thuế giá trị gia tăng mẫu số 01/GTGT, kỳ tính thuế quý 4 năm 2024.",A,A,A
What is the process for transferring personal data of Vietnamese citizens abroad according to Bộ Công an?,"Tổ chức, cá nhân chuyển dữ liệu cá nhân của công dân Việt Nam ra nước ngoài phải lập hồ sơ đánh giá tác động chuyển dữ liệu cá nhân ra nước ngoài và gửi cơ quan chuyên trách bảo vệ dữ liệu cá nhân thuộc Bộ Công an.","Tổ chức, cá nhân chuyển dữ liệu cá nhân của công dân Việt Nam ra nước ngoài phải lập hồ sơ đánh giá tác động chuyển dữ liệu cá nhân ra nước ngoài và gửi cơ quan chuyên trách bảo vệ dữ liệu cá nhân thuộc Bộ Công an.",tie,tie,tie
What is the focus of Nghị định 13/2023/NĐ-CP?,Nghị định 13/2023/NĐ-CP của Chính phủ được ban hành ngày 17 tháng 4 năm 2023.,Nghị định 13/2023/NĐ-CP của Chính phủ được ban hành ngày 17 tháng 4 năm 2023.,tie,tie,tie
Công ty Cổ phần DHA Surfaces nộp tờ khai thuế gì và khi nào?,"Người nộp thuế là Công ty Cổ phần DHA Surfaces, mã số thuế 0106769437.","Người nộp thuế là Công ty Cổ phần DHA Surfaces, mã số thuế 0106769437.",tie,tie,tie
"What are the requirements for obtaining consent from data subjects for processing personal data, and what responsibilities do data controllers and processors have in protecting this data?","Đoạn văn nằm trong phần ""Sự đồng ý của chủ thể dữ liệu"" của tài liệu ""nghi_dinh_13_summary.md"" và nói về yêu cầu có sự đồng ý của chủ thể dữ liệu trong việc xử lý dữ liệu cá nhân.","Đoạn văn nằm trong phần ""Sự đồng ý của chủ thể dữ liệu"" của tài liệu ""nghi_dinh_13_summary.md"" và nói về yêu cầu có sự đồng ý của chủ thể dữ liệu trong việc xử lý dữ liệu cá nhân.",tie,tie,tie
